locality,region,Month,Room_nights_occupied,Room_nights_available,Takings_from_accommodation,Average_takings_per_room_night_occupied
Parkville,Melbourne,September,6318.00,8010.00,793248.00,125.55
South Yarra - West,Melbourne,September,,,,
Southbank,Melbourne,September,88438.00,98010.00,23060384.00,260.75
Albert Park,Melbourne,September,35661.00,45128.00,4668575.00,130.91
South Melbourne,Melbourne,September,,,,
St Kilda,Melbourne,September,18701.00,24780.00,2167763.00,115.92
Prahran - Windsor,Melbourne,September,,,,
South Yarra - East,Melbourne,September,18736.00,22726.00,3222194.00,171.98
Toorak,Melbourne,September,,,,
Abbotsford,Melbourne,September,,,,
Carlton North - Princes Hill,Melbourne,September,,,,
Fitzroy,Melbourne,September,2360.00,4230.00,480939.00,203.79
Richmond (Vic.),Melbourne,September,4743.00,7380.00,653597.00,137.80
Yarra - North,Melbourne,September,,,,
Hawthorn,Melbourne,September,,,,
Hawthorn East,Melbourne,September,,,,
Kew,Melbourne,September,4521.00,7410.00,668223.00,147.80
Doncaster,Melbourne,September,,,,
Doncaster East,Melbourne,September,,,,
Blackburn,Melbourne,September,,,,
Box Hill,Melbourne,September,,,,
Burwood,Melbourne,September,,,,
Burwood East,Melbourne,September,,,,
Surrey Hills (East) - Mont Albert,Melbourne,September,,,,
Beaumaris,Melbourne,September,,,,
Brighton (Vic.),Melbourne,September,2507.00,4710.00,405671.00,161.80
Carnegie,Melbourne,September,,,,
Caulfield - North,Melbourne,September,,,,
Hughesdale,Melbourne,September,1603.00,2550.00,225873.00,140.91
Braeside,Melbourne,September,,,,
Cheltenham - Highett (East),Melbourne,September,,,,
Mentone,Melbourne,September,,,,
Moorabbin - Heatherton,Melbourne,September,,,,
Ivanhoe,Melbourne,September,,,,
Viewbank - Yallambie,Melbourne,September,,,,
Kingsbury,Melbourne,September,,,,
Preston,Melbourne,September,,,,
Reservoir - West,Melbourne,September,,,,
Bundoora - North,Melbourne,September,,,,
Mill Park - North,Melbourne,September,,,,
Thomastown,Melbourne,September,,,,
Airport West,Melbourne,September,,,,
Keilor,Melbourne,September,,,,
Coburg North,Melbourne,September,,,,
Fawkner,Melbourne,September,,,,
Sunbury - South,Melbourne,September,,,,
Broadmeadows,Melbourne,September,,,,
Campbellfield - Coolaroo,Melbourne,September,,,,
Gladstone Park - Westmeadows,Melbourne,September,,,,
Melbourne Airport,Melbourne,September,,,,
Tullamarine,Melbourne,September,,,,
Ferntree Gully,Melbourne,September,,,,
Rowville - South,Melbourne,September,,,,
Wantirna,Melbourne,September,,,,
Wantirna South,Melbourne,September,,,,
Croydon,Melbourne,September,1145.00,2430.00,138880.00,121.29
Ringwood,Melbourne,September,1332.00,2310.00,197546.00,148.31
Forest Hill,Melbourne,September,,,,
Nunawading,Melbourne,September,,,,
Doveton,Melbourne,September,,,,
Hallam,Melbourne,September,,,,
Narre Warren,Melbourne,September,,,,
Cranbourne,Melbourne,September,855.00,2820.00,103567.00,121.11
Dandenong,Melbourne,September,6473.00,10350.00,776085.00,119.90
Keysborough,Melbourne,September,,,,
Noble Park,Melbourne,September,,,,
Springvale,Melbourne,September,,,,
Ashwood - Chadstone,Melbourne,September,,,,
Clayton,Melbourne,September,1612.00,2280.00,200878.00,124.61
Glen Waverley - East,Melbourne,September,,,,
Glen Waverley - West,Melbourne,September,11458.00,16260.00,2196019.00,191.66
Mount Waverley - South,Melbourne,September,,,,
Mulgrave,Melbourne,September,,,,
Oakleigh - Huntingdale,Melbourne,September,,,,
Ardeer - Albion,Melbourne,September,,,,
Taylors Lakes,Melbourne,September,,,,
Williamstown,Melbourne,September,3764.00,4290.00,653163.00,173.53
Footscray,Melbourne,September,,,,
Caroline Springs,Melbourne,September,,,,
Melton,Melbourne,September,,,,
Melton South,Melbourne,September,,,,
Hoppers Crossing - North,Melbourne,September,,,,
Laverton,Melbourne,September,,,,
Point Cook,Melbourne,September,,,,
Werribee - South,Melbourne,September,3573.00,5730.00,568681.00,159.15
Nhill Region,Wimmera,September,,,,
Buloke,Wimmera,September,,,,
Mildura,Mallee,September,16971.00,26910.00,1890710.00,111.41
Mildura Region,Mallee,September,,,,
Red Cliffs,Mallee,September,,,,
Gannawarra,Mallee,September,,,,
Kerang,Mallee,September,,,,
Swan Hill,Mallee,September,6034.00,9840.00,639517.00,105.99
Swan Hill Region,Mallee,September,,,,
Lorne - Anglesea,Western,September,4719.00,10110.00,881934.00,186.89
Torquay,Western,September,3642.00,7380.00,383797.00,105.38
Portland,Western,September,1905.00,5280.00,252575.00,132.59
Camperdown,Western,September,,,,
Colac,Western,September,1567.00,3330.00,151582.00,96.73
Corangamite - South,Western,September,1865.00,3480.00,337877.00,181.20
Moyne - West,Western,September,1839.00,3720.00,218448.00,118.80
Otway,Western,September,,,,
Warrnambool - North,Western,September,1633.00,4980.00,155695.00,95.34
Warrnambool - South,Western,September,8791.00,16380.00,1133580.00,128.95
Horsham,Western Grampians,September,,,,
Hamilton (Vic.),Western Grampians,September,1527.00,3780.00,180917.00,118.48
Southern Grampians,Western Grampians,September,,,,
Maryborough (Vic.),Bendigo Loddon,September,987.00,1800.00,114914.00,116.43
Bendigo,Bendigo Loddon,September,11433.00,14040.00,1457440.00,127.48
California Gully - Eaglehawk,Bendigo Loddon,September,,,,
East Bendigo - Kennington,Bendigo Loddon,September,3314.00,4620.00,461868.00,139.37
Kangaroo Flat - Golden Square,Bendigo Loddon,September,,,,
White Hills - Ascot,Bendigo Loddon,September,,,,
Castlemaine,Bendigo Loddon,September,1078.00,1650.00,114079.00,105.81
Loddon,Bendigo Loddon,September,,,,
Carrum Downs,Peninsula,September,,,,
Frankston,Peninsula,September,3797.00,7590.00,512827.00,135.06
Seaford,Peninsula,September,,,,
Flinders,Peninsula,September,,,,
Hastings - Somers,Peninsula,September,,,,
Mornington,Peninsula,September,,,,
Mount Eliza,Peninsula,September,,,,
Point Nepean,Peninsula,September,3872.00,8310.00,595976.00,153.92
Rosebud - McCrae,Peninsula,September,,,,
Somerville,Peninsula,September,,,,
Echuca,Central Murray,September,7490.00,12990.00,879997.00,117.49
Rochester,Central Murray,September,,,,
Cobram,Central Murray,September,,,,
Yarrawonga,Central Murray,September,,,,
Euroa,Goulburn,September,,,,
Kilmore - Broadford,Goulburn,September,,,,
Nagambie,Goulburn,September,700.00,2280.00,101450.00,144.93
Seymour,Goulburn,September,1353.00,1440.00,184344.00,136.23
Seymour Region,Goulburn,September,,,,
Wallan,Goulburn,September,,,,
Mooroopna,Goulburn,September,,,,
